State_s,start_i,cont_cmp_i,wait_cmp_i,exit_cmp_i,stall_i,NState_ns,clear_rep_o,select_line2_o,select_line1_o,select_line0_o
CMP2,0,0,1,1,0,CMP,0,1,0,1
CMP2,0,1,0,0,0,CMP,0,1,0,1
CMP2,0,1,0,1,0,CMP,0,1,0,1
CMP2,0,1,1,0,0,CMP,0,1,0,1
CMP2,0,1,1,1,0,CMP,0,1,0,1
CMP2,1,0,0,0,0,CMP,0,1,0,1
CMP2,1,0,0,1,0,CMP,0,1,0,1
CMP2,1,0,1,0,0,CMP,0,1,0,1
CMP2,1,0,1,1,0,CMP,0,1,0,1
CMP2,1,1,0,0,0,CMP,0,1,0,1
CMP2,1,1,0,1,0,CMP,0,1,0,1
CMP2,1,1,1,0,0,CMP,0,1,0,1
CMP2,1,1,1,1,0,CMP,0,1,0,1
FUCK_ME,0,0,0,0,0,FUCK_ME,0,0,0,0
FUCK_ME,0,0,0,0,1,FUCK_ME,0,0,0,0
FUCK_ME,0,0,0,1,0,FUCK_ME,0,0,0,0
FUCK_ME,0,0,0,1,1,FUCK_ME,0,0,0,0
FUCK_ME,0,0,1,0,0,FUCK_ME,0,0,0,0
FUCK_ME,0,0,1,0,1,FUCK_ME,0,0,0,0
FUCK_ME,0,0,1,1,0,FUCK_ME,0,0,0,0
FUCK_ME,0,0,1,1,1,FUCK_ME,0,0,0,0
FUCK_ME,0,1,0,0,0,FUCK_ME,0,0,0,0
FUCK_ME,0,1,0,0,1,FUCK_ME,0,0,0,0
FUCK_ME,0,1,0,1,0,FUCK_ME,0,0,0,0
FUCK_ME,0,1,0,1,1,FUCK_ME,0,0,0,0
FUCK_ME,0,1,1,0,0,FUCK_ME,0,0,0,0
FUCK_ME,0,1,1,0,1,FUCK_ME,0,0,0,0
FUCK_ME,0,1,1,1,0,FUCK_ME,0,0,0,0
FUCK_ME,0,1,1,1,1,FUCK_ME,0,0,0,0
FUCK_ME,1,0,0,0,0,FUCK_ME,0,0,0,0
FUCK_ME,1,0,0,0,1,FUCK_ME,0,0,0,0
FUCK_ME,1,0,0,1,0,FUCK_ME,0,0,0,0
FUCK_ME,1,0,0,1,1,FUCK_ME,0,0,0,0
FUCK_ME,1,0,1,0,0,FUCK_ME,0,0,0,0
FUCK_ME,1,0,1,0,1,FUCK_ME,0,0,0,0
FUCK_ME,1,0,1,1,0,FUCK_ME,0,0,0,0
FUCK_ME,1,0,1,1,1,FUCK_ME,0,0,0,0
FUCK_ME,1,1,0,0,0,FUCK_ME,0,0,0,0
FUCK_ME,1,1,0,0,1,FUCK_ME,0,0,0,0
FUCK_ME,1,1,0,1,0,FUCK_ME,0,0,0,0
FUCK_ME,1,1,0,1,1,FUCK_ME,0,0,0,0
FUCK_ME,1,1,1,0,0,FUCK_ME,0,0,0,0
FUCK_ME,1,1,1,0,1,FUCK_ME,0,0,0,0
FUCK_ME,1,1,1,1,0,FUCK_ME,0,0,0,0
FUCK_ME,1,1,1,1,1,FUCK_ME,0,0,0,0
IDLE,0,0,0,0,1,IDLE,0,0,0,0
IDLE,0,0,0,1,1,IDLE,0,0,0,0
IDLE,0,0,1,0,1,IDLE,0,0,0,0
IDLE,0,0,1,1,1,IDLE,0,0,0,0
IDLE,0,1,0,0,1,IDLE,0,0,0,0
IDLE,0,1,0,1,1,IDLE,0,0,0,0
IDLE,0,1,1,0,1,IDLE,0,0,0,0
IDLE,0,1,1,1,1,IDLE,0,0,0,0
IDLE,1,0,0,0,1,IDLE,0,0,0,0
IDLE,1,0,0,1,1,IDLE,0,0,0,0
IDLE,1,0,1,0,1,IDLE,0,0,0,0
IDLE,1,0,1,1,1,IDLE,0,0,0,0
IDLE,1,1,0,0,1,IDLE,0,0,0,0
IDLE,1,1,0,1,1,IDLE,0,0,0,0
IDLE,1,1,1,0,1,IDLE,0,0,0,0
IDLE,1,1,1,1,1,IDLE,0,0,0,0
CMP,0,0,0,0,1,CMP,0,0,0,0
CMP,0,0,0,1,1,CMP,0,0,0,0
CMP,0,0,1,0,1,CMP,0,0,0,0
CMP,0,0,1,1,1,CMP,0,0,0,0
CMP,0,1,0,0,1,CMP,0,0,0,0
CMP,0,1,0,1,1,CMP,0,0,0,0
CMP,0,1,1,0,1,CMP,0,0,0,0
CMP,0,1,1,1,1,CMP,0,0,0,0
CMP,1,0,0,0,1,CMP,0,0,0,0
CMP,1,0,0,1,1,CMP,0,0,0,0
CMP,1,0,1,0,1,CMP,0,0,0,0
CMP,1,0,1,1,1,CMP,0,0,0,0
CMP,1,1,0,0,1,CMP,0,0,0,0
CMP,1,1,0,1,1,CMP,0,0,0,0
CMP,1,1,1,0,1,CMP,0,0,0,0
CMP,1,1,1,1,1,CMP,0,0,0,0
DEC_ECX_CMP,0,0,0,0,1,DEC_ECX_CMP,0,0,0,0
DEC_ECX_CMP,0,0,0,1,1,DEC_ECX_CMP,0,0,0,0
DEC_ECX_CMP,0,0,1,0,1,DEC_ECX_CMP,0,0,0,0
DEC_ECX_CMP,0,0,1,1,1,DEC_ECX_CMP,0,0,0,0
DEC_ECX_CMP,0,1,0,0,1,DEC_ECX_CMP,0,0,0,0
DEC_ECX_CMP,0,1,0,1,1,DEC_ECX_CMP,0,0,0,0
DEC_ECX_CMP,0,1,1,0,1,DEC_ECX_CMP,0,0,0,0
DEC_ECX_CMP,0,1,1,1,1,DEC_ECX_CMP,0,0,0,0
DEC_ECX_CMP,1,0,0,0,1,DEC_ECX_CMP,0,0,0,0
DEC_ECX_CMP,1,0,0,1,1,DEC_ECX_CMP,0,0,0,0
DEC_ECX_CMP,1,0,1,0,1,DEC_ECX_CMP,0,0,0,0
DEC_ECX_CMP,1,0,1,1,1,DEC_ECX_CMP,0,0,0,0
DEC_ECX_CMP,1,1,0,0,1,DEC_ECX_CMP,0,0,0,0
DEC_ECX_CMP,1,1,0,1,1,DEC_ECX_CMP,0,0,0,0
DEC_ECX_CMP,1,1,1,0,1,DEC_ECX_CMP,0,0,0,0
DEC_ECX_CMP,1,1,1,1,1,DEC_ECX_CMP,0,0,0,0
CMP0,0,0,0,0,1,CMP0,0,0,0,0
CMP0,0,0,0,1,1,CMP0,0,0,0,0
CMP0,0,0,1,0,1,CMP0,0,0,0,0
CMP0,0,0,1,1,1,CMP0,0,0,0,0
CMP0,0,1,0,0,1,CMP0,0,0,0,0
CMP0,0,1,0,1,1,CMP0,0,0,0,0
CMP0,0,1,1,0,1,CMP0,0,0,0,0
CMP0,0,1,1,1,1,CMP0,0,0,0,0
CMP0,1,0,0,0,1,CMP0,0,0,0,0
CMP0,1,0,0,1,1,CMP0,0,0,0,0
CMP0,1,0,1,0,1,CMP0,0,0,0,0
CMP0,1,0,1,1,1,CMP0,0,0,0,0
CMP0,1,1,0,0,1,CMP0,0,0,0,0
CMP0,1,1,0,1,1,CMP0,0,0,0,0
CMP0,1,1,1,0,1,CMP0,0,0,0,0
CMP0,1,1,1,1,1,CMP0,0,0,0,0
CMP1,0,0,0,0,1,CMP1,0,0,0,0
CMP1,0,0,0,1,1,CMP1,0,0,0,0
CMP1,0,0,1,0,1,CMP1,0,0,0,0
CMP1,0,0,1,1,1,CMP1,0,0,0,0
CMP1,0,1,0,0,1,CMP1,0,0,0,0
CMP1,0,1,0,1,1,CMP1,0,0,0,0
CMP1,0,1,1,0,1,CMP1,0,0,0,0
CMP1,0,1,1,1,1,CMP1,0,0,0,0
CMP1,1,0,0,0,1,CMP1,0,0,0,0
CMP1,1,0,0,1,1,CMP1,0,0,0,0
CMP1,1,0,1,0,1,CMP1,0,0,0,0
CMP1,1,0,1,1,1,CMP1,0,0,0,0
CMP1,1,1,0,0,1,CMP1,0,0,0,0
CMP1,1,1,0,1,1,CMP1,0,0,0,0
CMP1,1,1,1,0,1,CMP1,0,0,0,0
CMP1,1,1,1,1,1,CMP1,0,0,0,0
CMP2,0,0,0,0,1,CMP2,0,0,0,0
CMP2,0,0,0,1,1,CMP2,0,0,0,0
CMP2,0,0,1,0,1,CMP2,0,0,0,0
CMP2,0,0,1,1,1,CMP2,0,0,0,0
CMP2,0,1,0,0,1,CMP2,0,0,0,0
CMP2,0,1,0,1,1,CMP2,0,0,0,0
CMP2,0,1,1,0,1,CMP2,0,0,0,0
CMP2,0,1,1,1,1,CMP2,0,0,0,0
CMP2,1,0,0,0,1,CMP2,0,0,0,0
CMP2,1,0,0,1,1,CMP2,0,0,0,0
CMP2,1,0,1,0,1,CMP2,0,0,0,0
CMP2,1,0,1,1,1,CMP2,0,0,0,0
CMP2,1,1,0,0,1,CMP2,0,0,0,0
CMP2,1,1,0,1,1,CMP2,0,0,0,0
CMP2,1,1,1,0,1,CMP2,0,0,0,0
CMP2,1,1,1,1,1,CMP2,0,0,0,0
ERROR,0,0,0,0,0,ERROR,0,0,0,0
ERROR,0,0,0,0,1,ERROR,0,0,0,0
ERROR,0,0,0,1,0,ERROR,0,0,0,0
ERROR,0,0,0,1,1,ERROR,0,0,0,0
ERROR,0,0,1,0,0,ERROR,0,0,0,0
ERROR,0,0,1,0,1,ERROR,0,0,0,0
ERROR,0,0,1,1,0,ERROR,0,0,0,0
ERROR,0,0,1,1,1,ERROR,0,0,0,0
ERROR,0,1,0,0,0,ERROR,0,0,0,0
ERROR,0,1,0,0,1,ERROR,0,0,0,0
ERROR,0,1,0,1,0,ERROR,0,0,0,0
ERROR,0,1,0,1,1,ERROR,0,0,0,0
ERROR,0,1,1,0,0,ERROR,0,0,0,0
ERROR,0,1,1,0,1,ERROR,0,0,0,0
ERROR,0,1,1,1,0,ERROR,0,0,0,0
ERROR,0,1,1,1,1,ERROR,0,0,0,0
ERROR,1,0,0,0,0,ERROR,0,0,0,0
ERROR,1,0,0,0,1,ERROR,0,0,0,0
ERROR,1,0,0,1,0,ERROR,0,0,0,0
ERROR,1,0,0,1,1,ERROR,0,0,0,0
ERROR,1,0,1,0,0,ERROR,0,0,0,0
ERROR,1,0,1,0,1,ERROR,0,0,0,0
ERROR,1,0,1,1,0,ERROR,0,0,0,0
ERROR,1,0,1,1,1,ERROR,0,0,0,0
ERROR,1,1,0,0,0,ERROR,0,0,0,0
ERROR,1,1,0,0,1,ERROR,0,0,0,0
ERROR,1,1,0,1,0,ERROR,0,0,0,0
ERROR,1,1,0,1,1,ERROR,0,0,0,0
ERROR,1,1,1,0,0,ERROR,0,0,0,0
ERROR,1,1,1,0,1,ERROR,0,0,0,0
ERROR,1,1,1,1,0,ERROR,0,0,0,0
ERROR,1,1,1,1,1,ERROR,0,0,0,0
